,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
8930,0.136,The Beatles,0.488,199960,0.539,0,4LLBKnNCrSRrSjSTuiwjE9,0.0,9,0.0538,-8.752,1,You Won't See Me - Remastered 2009,59,1965-12-03,0.0304,115.941,0.473,1965
8935,0.34600000000000003,The Beatles,0.5329999999999999,138667,0.66,0,70HNt0eoBVqr4ss68U8x3B,0.0,4,0.26,-7.694,1,You're Going To Lose That Girl - Remastered 2009,58,1965-08-06,0.0337,131.975,0.818,1965
8937,0.0537,The Beatles,0.461,154933,0.762,0,5xcfepnz1v7a83T8An9gjw,0.0,2,0.238,-6.727,1,The Night Before - Remastered 2009,58,1965-08-06,0.0379,84.49600000000002,0.632,1965
8938,0.0103,The Beatles,0.563,141093,0.705,0,4gUYV3ktbaOeAK5KrXMWV5,0.0,2,0.0552,-9.232,1,Run For Your Life - Remastered 2009,58,1965-12-03,0.103,176.732,0.8220000000000001,1965
8954,0.17800000000000002,The Rolling Stones,0.578,133320,0.429,0,30V02AmDYMRvrHE4L8cZAo,6.01e-05,2,0.171,-9.601,1,Play With Fire - Mono Version,55,1965-07-30,0.0268,108.738,0.0889,1965
8964,0.0289,The Rolling Stones,0.579,175080,0.877,0,263Iuyk08ks1v6FIudUIGD,0.5710000000000001,4,0.0656,-8.83,1,Get Off Of My Cloud - Mono Version,54,1965-12-04,0.0488,126.336,0.9,1965
8966,0.00748,The Beatles,0.4920000000000001,142267,0.755,0,7C6hdDIz90Uf5YmdZnYbJJ,0.0,9,0.102,-9.273,1,If I Needed Someone - Remastered 2009,52,1965-12-03,0.0331,127.387,0.7959999999999999,1965
8968,0.0124,The Beatles,0.529,138520,0.5670000000000001,0,64bKVrkaXQAKx04dLHqCNz,0.0,0,0.0729,-9.796,1,Think For Yourself - Remastered 2009,52,1965-12-03,0.0282,130.54399999999998,0.799,1965
8974,0.29100000000000004,The Rolling Stones,0.508,179133,0.645,0,2jaN6NgXflZTj2z9CWcqaP,3.25e-06,5,0.107,-9.012,1,Time Is On My Side - Mono Version,53,1965-01-15,0.0395,99.302,0.412,1965
8976,0.0175,The Beatles,0.552,134720,0.487,0,0CGbof9amBnsNlRhZ8IY2H,0.0,6,0.105,-10.574000000000002,0,Wait - Remastered 2009,51,1965-12-03,0.04,127.201,0.657,1965
8978,0.0068200000000000005,The Beatles,0.59,163107,0.6409999999999999,0,4GBaPHvAyj4V2jeobD9tsy,0.0,0,0.0553,-9.687,1,The Word - Remastered 2009,51,1965-12-03,0.0416,120.773,0.792,1965
8982,0.277,The Beatles,0.601,148787,0.489,0,5EzvwjFwdP5Kfl5AZAemzu,0.0,9,0.0988,-8.554,1,I Need You - Remastered 2009,53,1965-08-06,0.0455,136.215,0.638,1965
8990,0.0168,The Beatles,0.67,168573,0.7759999999999999,0,19QXdPRZFHI5kNK3tN8Mh7,3.01e-06,4,0.0732,-10.035,1,What Goes On - Remastered 2009,50,1965-12-03,0.0749,96.93,0.765,1965
